minute,visible_orders,accepted,scheduled,rejected,routed,travel_minutes,travel_cost,revenue,master_solver,routing_solver
93,23,0,23,0,0,0,0.0,0,gurobi,empty
94,23,0,23,0,0,0,0.0,0,gurobi,empty
95,25,0,24,1,0,0,0.0,0,gurobi,empty
96,24,0,24,0,0,0,0.0,0,gurobi,empty
97,24,0,24,0,0,0,0.0,0,gurobi,empty
98,24,0,24,0,0,0,0.0,0,gurobi,empty
99,24,0,24,0,0,0,0.0,0,gurobi,empty
100,26,0,24,2,0,0,0.0,0,gurobi,empty
101,24,0,24,0,0,0,0.0,0,gurobi,empty
102,24,0,24,0,0,0,0.0,0,gurobi,empty
103,24,0,24,0,0,0,0.0,0,gurobi,empty
104,24,0,24,0,0,0,0.0,0,gurobi,empty
105,25,1,23,1,1,14.93,35.83,111.0,gurobi,gurobi
106,23,0,23,0,0,0,0.0,0,gurobi,empty
107,23,0,23,0,0,0,0.0,0,gurobi,empty
108,23,0,23,0,0,0,0.0,0,gurobi,empty
109,23,0,23,0,0,0,0.0,0,gurobi,empty
110,27,0,24,3,0,0,0.0,0,gurobi,empty
111,24,0,24,0,0,0,0.0,0,gurobi,empty
112,24,0,24,0,0,0,0.0,0,gurobi,empty
113,24,0,24,0,0,0,0.0,0,gurobi,empty
114,24,0,24,0,0,0,0.0,0,gurobi,empty
115,24,0,24,0,0,0,0.0,0,gurobi,empty
116,24,0,24,0,0,0,0.0,0,gurobi,empty
117,24,0,24,0,0,0,0.0,0,gurobi,empty
118,24,0,24,0,0,0,0.0,0,gurobi,empty
119,24,0,24,0,0,0,0.0,0,gurobi,empty
120,24,0,24,0,0,0,0.0,0,gurobi,empty
121,24,0,24,0,0,0,0.0,0,gurobi,empty
122,24,0,24,0,0,0,0.0,0,gurobi,empty
123,24,0,24,0,0,0,0.0,0,gurobi,empty
124,24,0,24,0,0,0,0.0,0,gurobi,empty
125,24,0,24,0,0,0,0.0,0,gurobi,empty
126,24,0,24,0,0,0,0.0,0,gurobi,empty
127,24,0,24,0,0,0,0.0,0,gurobi,empty
128,24,0,24,0,0,0,0.0,0,gurobi,empty
129,24,0,24,0,0,0,0.0,0,gurobi,empty
130,24,0,24,0,0,0,0.0,0,gurobi,empty
131,24,0,24,0,0,0,0.0,0,gurobi,empty
132,24,0,24,0,0,0,0.0,0,gurobi,empty
133,24,0,24,0,0,0,0.0,0,gurobi,empty
134,24,0,24,0,0,0,0.0,0,gurobi,empty
135,24,0,24,0,0,0,0.0,0,gurobi,empty
136,24,0,24,0,0,0,0.0,0,gurobi,empty
137,24,0,24,0,0,0,0.0,0,gurobi,empty
138,24,0,24,0,0,0,0.0,0,gurobi,empty
139,24,0,24,0,0,0,0.0,0,gurobi,empty
140,24,0,24,0,0,0,0.0,0,gurobi,empty
